teochew,puj,mandarin
头,thau5,
毛,mo5,毛发
头毛,thau5-mo5,头发
辫,pinn1,辫子
面,min7,脸
目,mak8,眼睛
目周,mak8-tsiu1,眼眶
目箍,mak8-khou1,眼圈
目眉,mak8-bai5,眉毛
目皮,mak8-phue5,眼皮
目仁,mak8-jin5,眼球
鼻,phinn'7,鼻子
鼻空,phinn'7-khang1,鼻孔
嘴/喙,tshui3,
嘴面皮,tshui3-min7-phue5,嘴唇
嘴唇,tshui3-tun5,
胡须,hou5-tshiu1,
下颏,e6-hai5,下巴
颊沟,kih4-kau1,脸颊
额头,hiah4-thau5,
草眼,tshau2-ngan2,太阳穴
耳,hinn'6,耳朵
颔,am6,脖子
心肝头,sim1-kuann1-thau5,胸口
𩩍篱,phiann1-li5,肋骨
肚,tou2,肚子
肚脐,tou2-tsai5,肚脐
胳囊下,koh4-lang5-e6,腋下
尻脊,ka1-tsiah4,背部
肩头,koinn1-thau5,肩膀
手,tshiu2,
手肘,tshiu2-thng6,
手指,tshiu2-tsoinn2,
指头公,tsng2-thau5-kong1,大拇指
指尾囝,tsng2-bue2-kiann2,小指
指甲,tsng2-kah4,
尻川斗/尻川,ka1-tshng1-tau2,屁股
脚/骹/跤,kha1,脚
脚肠肚,kha1-tng5-tou2,小腿
脚头趺/脚头,kha1-thau5-u1,膝盖
脚目,kha1-mak8,脚踝
脚盘,kha1-puann5,脚背
脚后蹬,kha1-au6-tenn1,脚后跟
齿龈,khi2-ngvn5,
舌,tsih8,舌头
喉咙,au5-leng5,
涎,nuann6,口水
痰,tham5,
肺,hui3,
冇肝,phann3-kuann1,肺
肠,tng5,
心,sim1,
肝,kuann1,
肾子,sian6-tsi2,肾
胆,tann2,
筋,kvn1,
骨,kut4,
𦛨,la5,肥、油
肉,nek8,
血,hueh4,
力,lat8,
脉,meh8,
汗,kuann7,
尿,jio7,
屎,sai2,
屁,phui3,
