teochew,puj,mandarin
我,ua2,我
家己人,ka1-ki7-nang5,我自己
你,lv2,你
伊,i1,他/她
我人/阮,ua2--nang5/uan2,我们（不含听话人）
咱,nan2,我们（含听话人）
你人/恁,lv2--nang5/nvn2,你们
伊人/𪜶,i1--nang5/in1,他们/她们
翁,ang1,父亲
𡚸,bou2,老婆
老,lau6,老公/老婆
翁姐,ang1-tsia2,夫妻
亲情,tshin1-tsiann5,亲戚
祖公,tsou2-kong1,先祖
阿公,a1-kong1,爷爷
阿嬷,a1-ma2,奶奶
老公,lau6-kong1,曾祖父
老嬷,lau6-ma2,曾祖母
外公,gua7-kong1,外公
外嬷,gua7-ma2,外婆
大官,ta1-kuann1,公公
大家,ta1-ke1,婆婆
丈人公/丈人,tionn6-nang5-kong1,岳父
丈姆婆/丈姆,tionn6-m2-phua5,岳母
阿爸,a1-pa1/a1-pa5,爸爸
父,pe6,父亲
阿妈,a1-ma5,妈妈
母,bo2,母亲
阿姨,a1-i5,母亲（旧）
嫒/姨,ai5,母亲（旧）
姈,ne1,母亲（俗）
奴,nou5,孩子
囝/仔,kiann2,儿子
丈夫囝/兜囝,ta1-pou1-kiann2/tau1-kiann2,儿子
查某囝/走囝,tsa1-bou2-kiann2/tsau2-kiann2,女儿
孙,sun1,孙子/侄子
丈夫孙/兜孙,ta1-pou1-sun1/tau1-sun1,孙子
查某孙/走孙,tsa1-bou2-sun1/tsau2-sun1,孙女
曾孙,tseng1-sun1,曾孙
外孙,gua7-sun1,外孙
新妇,sin1-pu6,媳妇
囝婿,kiann2-sai3,女婿
新人,sin1-nang5,新郎/新娘新郎
阿伯,a1-peh4,伯伯
阿姆,a1-m2,伯母
阿叔,a1-tsek4,叔叔
老叔,lau6-tsek4/lau6-su5,叔公
阿婶,a1-sim2,婶婶
阿舅,a1-ku6,舅舅
阿妗,a1-kim6,舅妈
阿姨,a1-i5,姨妈
[英] aunt,an5--thi7,姨妈
阿姑娘/阿姑/阿娘,a1-kou1-nionn5/a1-ku5-niang6,姑姑
阿姑丈/阿丈,a1-kou1-tionn6,姑丈/姨丈
阿嫂,a1-sau2/a1-so2,嫂子
妻舅,tsi1-ku6,舅子
妻姨,tsi1-i5,姨子
大小姆,tua7-sio2-m2,妯娌
阿兄/阿哥,a1-hiann1/a1-ko5,哥哥（亲/堂/表）
阿弟,a1-ti7,弟弟（亲/堂/表）
阿姐,a1-tse2,姐姐（亲/堂/表）
阿妹,a1-mue7/a1-mue6,妹妹（亲/堂/表）
堂,thang5,堂亲前缀
表,pio2,表亲前缀
老,lau6,更高一辈称呼前缀
双生,sang1-senn1,双胞胎
