char	char_sim	initial	final	tone	cat	char_ref	details
阿	阿	0	a	1	0		
阿	阿	0	o	1	0		
錒	锕	0	a	1	0		
嗄	嗄	h	e	7	0		
啊	啊	0	o	1	0		
啊	啊	0	a	1	0		
哎	哎	0	ai	7	0		
哀	哀	0	ai	1	0		
埃	埃	0	ai	1	0		
挨	挨	0	oi	1	0		
唉	唉	0	ai	7	0		
捱	捱	ng	ai	5	0		
皚	皑	kh	ai	2	3		
皚	皑	ng	ai	2	2		
癌	癌	ng	am	5	0		
矮	矮	0	oi	2	1		
矮	矮	0	ai	2	2		
藹	蔼	0	ai	2	0		
靄	霭	0	ai	2	0		
艾	艾	ng	ai	6	2		
艾	艾	h	iann'	7	1		
砹	砹	ng	ai	6	0		
隘	隘	0	eh	4	0		
隘	隘	0	ek	4	0		
隘	隘	0	ai	2	0		
嗌	嗌	0	eh	4	0		
愛	爱	0	ainn'	3	0		
𱐿	𱐿	m	ai	3	0		
噯	嗳	0	ai	7	0		
嬡	嫒	0	ainn'	3	0		
嬡	嫒	0	ai	5	0		
璦	瑷	0	ainn'	3	0		
曖	暧	0	ainn'	3	0		
礙	碍	g	ai	7	0		
安	安	0	an	1	2		
安	安	0	uann	1	1		
桉	桉	0	an	1	2		
桉	桉	0	uann	3	1		
氨	氨	0	an	1	0		
庵	庵	0	am	1	0		
鞍	鞍	0	an	1	2		
鞍	鞍	0	uann	1	1		
盦	盦	0	am	1	0		
諳	谙	0	am	1	0		
諳	谙	0	am	3	0		
闇	闇	0	am	3	0		
鵪	鹌	0	am	1	0		
俺	俺	n	an	2	0		
揞	揞	0	am	3	0		
銨	铵	0	an	1	0		
犴	犴	k	an	1	0		
岸	岸	ng	ai	6	0		
按	按	0	an	3	0		
胺	胺	0	an	1	0		
案	案	0	an	3	2		
案	案	0	uann	3	1		
暗	暗	0	am	3	0		
黯	黯	0	am	3	0		
骯	肮	0	ang	1	0		
昂	昂	ng	ang	1	0		
盎	盎	0	ong	3	0		
凹	凹	0	au	1	0		
敖	敖	ng	au	5	0		
𠢕	𠢕	g	au	5	0		
嶅	嶅	ng	au	5	0		
遨	遨	ng	au	5	0		
嗷	嗷	ng	au	1	0		
廒	廒	ng	au	5	0		
獒	獒	ng	au	5	0		
熬	熬	ng	au	5	0		
聱	聱	ng	au	5	0		
螯	螯	ng	au	5	0		
翱	翱	ng	au	5	0		
鏖	鏖	0	au	1	0		
鰲	鳌	ng	au	5	0		
媼	媪	0	au	2	0		
媼	媪	0	un	6	0		
襖	袄	0	o	2	1		
襖	袄	0	au	2	2		
坳	坳	0	au	1	0		
拗	拗	0	au	2	0		
拗	拗	0	a	2	0		
奡	奡	ng	au	6	0		
傲	傲	ng	au	6	0		
奧	奥	0	o	3	1		
奧	奥	0	au	3	2		
隩	隩	0	o	3	1		
隩	隩	0	au	3	2		
隩	隩	h	iok	4	0		
嶴	岙	0	o	3	1		
嶴	岙	0	au	3	2		
澳	澳	0	o	3	1		
澳	澳	0	au	3	2		
懊	懊	0	o	3	0		
懊	懊	0	au	3	0		
鏊	鏊	ng	au	5	0		
驁	骜	ng	au	5	0		
八	八	p	oih	4	1		
八	八	p	at	4	2		
巴	巴	p	a	1	0		
扒	扒	p	a	1	0		
扒	扒	p	e	5	0		
叭	叭	p	a	1	0		
芭	芭	p	a	1	0		
疤	疤	p	a	1	0		
捌	捌	p	oih	4	1		
捌	捌	p	at	4	2		
粑	粑	p	a	1	0		
豝	豝	p	a	1	0		
拔	拔	p	oih	8	1		
拔	拔	p	uat	8	2		
茇	茇	b	uah	8	1		
茇	茇	p	uat	8	2		
跋	跋	p	uat	8	0		
魃	魃	p	uat	8	0		
鼥	鼥	p	uat	8	0		
把	把	p	a	2	2		
把	把	p	e	2	1		
把	把	p	enn	3	3	柄	
靶	靶	p	a	2	0		
爸	爸	p	a	1	0		
耙	耙	p	e	5	1		
耙	耙	ph	a	5	2		
罷	罢	p	a	6	0		
霸	霸	p	a	3	0		
壩	坝	p	a	3	0		
灞	灞	p	a	3	0		
欛	欛	p	a	2	0		
吧	吧	p	a	1	0		
掰	掰	p	eh	4	0		
白	白	p	eh	8	1		
白	白	p	ek	8	2		
白	白	p	ok	8	2		
百	百	p	eh	4	1		
百	百	p	ek	4	2		
百	百	p	ok	4	2		
佰	佰	p	eh	4	1		
佰	佰	p	ek	4	2		
佰	佰	p	ok	4	2		
柏	柏	p	eh	4	1		
柏	柏	p	ek	4	2		
柏	柏	p	ok	4	2		
捭	捭	p	ai	2	0		
擺	摆	p	ai	2	0		
襬	襬	p	ai	2	0		
拜	拜	p	ai	3	0		
敗	败	p	ai	7	0		
稗	稗	p	i	2	0		
稗	稗	ph	oinn	7	0		
扳	扳	p	an	2	0		
班	班	p	an	1	0		
般	般	p	uann	1	1		
般	般	p	an	1	2		
般	般	p	uan	1	2		
斑	斑	p	an	1	0		
搬	搬	p	uann	1	1		
搬	搬	p	an	1	2		
搬	搬	p	uan	1	2		
頒	颁	p	an	1	0		
瘢	瘢	p	an	1	0		
癍	癍	p	an	1	0		
阪	阪	p	an	2	0		
坂	坂	p	an	2	0		
板	板	p	an	2	0		
版	版	p	an	2	2		
版	版	p	oinn	2	1		
蝂	蝂	p	an	2	0		
闆	板	p	an	2	0		
半	半	p	uann	3	1		
半	半	p	uan	3	2		
扮	扮	p	an	3	2		
伴	伴	ph	uann	6	1		
伴	伴	p	uan	6	2		
拌	拌	ph	uan	3	0		
柈	柈	ph	uan	3	0		
絆	绊	ph	uan	3	0		
辦	办	ph	oinn	7	1		
辦	办	p	an	7	2		
辦	办	ph	ian	3	3		
瓣	瓣	h	ah	4	3		
瓣	瓣	ph	ian	3	2		
瓣	瓣	p	ian	6	3		
邦	邦	p	ang	1	0		
梆	梆	p	ang	2	0		
浜	浜	p	ang	1	1		
浜	浜	p	eng	1	2		
浜	浜	p	in	1	0		
幫	帮	p	ang	1	0		
綁	绑	p	ang	2	0		
榜	榜	p	ang	2	0		
膀	膀	p	ang	2	0		
膀	膀	ph	ang	5	0		
膀	膀	ph	ong	3	0		
蚌	蚌	h	ong	2	2		
蚌	蚌	p	ang	6	1		
棒	棒	p	ang	6	0		
傍	傍	p	ang	6	0		
